STATE,SEA VEGETABLES,OTHER.MOLLUSKS,OYSTERS,SCALLOPS,MUSSELS,CLAMS,ABALONE,OTHER.CRUSTACEANS,SHRIMP,LOBSTER,CRABS,OTHER.FINFISH,DRUM,STURGEON,PACIFIC SALMON,ATLANTIC SALMON,FLOUNDER,COBIA,STRIPED BASS
1,1.97,2.03,3.27,4.14,3.63,4.03,1.74,2.24,4.29,4.54,3.54,2.62,1.5,1.7,2.55,3.59,2.74,1.5,2.45
2,1.94,2.09,3.34,3.97,3.59,3.86,1.84,2.21,4.2,4.17,3.33,2.58,1.61,1.77,2.9,3.6,3.04,1.61,2.53
3,2.04,2.24,3.44,3.88,3.5,3.76,1.86,2.43,4.16,4.08,3.43,2.77,1.78,1.79,3.03,3.55,3.24,1.69,2.66
4,2.03,2.46,3.78,3.99,3.84,4.07,1.78,2.61,4.27,4.28,3.73,2.74,1.89,1.83,3.02,3.61,3.28,1.75,3.06
5,2.03,2.33,3.68,4.12,3.76,4.03,1.94,2.54,4.43,4.16,3.79,2.66,1.81,1.94,3.25,3.88,3.64,1.81,2.97
6,2.33,2.37,3.02,3.44,3.23,3.39,2.16,2.42,4.14,3.69,3.42,2.51,2.07,2.19,3.35,3.4,3.18,2.03,2.61
7,2.09,2.23,3.18,3.68,3.35,3.5,1.92,2.29,4.29,3.78,3.57,2.34,1.82,1.96,3.18,3.61,3.76,1.88,2.67
8,2.04,2.21,3.44,3.67,3.45,3.65,1.92,2.6,4.37,3.77,4.1,2.73,1.83,1.94,3.24,3.64,3.79,1.84,2.76
9,2.34,2.26,3.49,3.5,3.28,3.38,2.16,2.54,4.05,3.65,4.1,2.67,2.06,2.03,3.12,3.52,3.47,1.97,2.89
10,2.04,2.29,3.12,3.1,2.81,3.01,1.94,2.37,4.03,3.48,3.57,2.55,2,1.9,3.1,3.34,3.37,1.95,2.46
11,1.84,1.86,2.97,3.16,2.52,2.87,1.71,2.02,4.15,3.22,3.34,2.36,1.76,1.72,2.98,3.2,3.59,1.68,2.26
12,1.8,1.9,3.33,3.31,2.8,3.02,1.67,1.99,4.17,3.62,3.65,2.38,1.88,1.72,2.99,3.3,3.72,1.85,2.33
13,1.91,1.94,2.89,3.12,2.52,2.68,1.76,2.17,4.2,3.49,3.51,2.35,1.84,1.83,3.12,3.27,3.03,1.75,2.38
14,2.23,2.23,3.12,3.31,2.98,3.07,2,2.41,4.1,3.69,3.62,2.8,2.18,2.07,3.15,3.35,3.12,2.13,2.48
15,2.2,2.32,3.22,3.67,3.39,3.6,2.03,2.43,4.19,3.89,3.47,2.59,1.94,2.03,3.21,3.51,3.22,1.89,2.66
16,2.14,2.26,3.25,3.44,3.16,3.31,1.99,2.39,4.15,3.65,3.73,2.51,1.94,1.96,3.14,3.5,3.56,1.92,2.66
17,2.03,2.05,3.06,3.23,2.76,2.93,1.85,2.22,4.14,3.54,3.54,2.56,1.98,1.9,3.09,3.29,3.27,1.92,2.39
18,2.11,2.19,3.16,3.42,3.06,3.24,1.94,2.33,4.16,3.68,3.56,2.56,1.96,1.96,3.14,3.41,3.32,1.91,2.55
